Brand,Item Name,Price,Size,Description,Extra Info,Colors,Image URL,No Of Seller Listings,No Of Sold Seller Listings,Seller Avg. Shipping Time,No of Seller Love Notes,Product Link
House of CB,"
            House of CB - Floryn Mesh Bra - NWOT
          ","
              C$60
            ","
              US XS
            ","
          House of CB - Floryn Mesh Bra - XS
Adjustable Straps, Hook Back
Never worn, Excellent Condition

🐶 Dog Friendly Home
🚭 Non-Smoking Home
✏️ Measurements Available upon Request
♻️ Recycled Packaging whenever Possible
💵 Use code LITTLEKSCLOTHES when you sign up to save $15 on your first purchase!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A",N/A,421,300+,1 day,28,https://poshmark.ca/listing/House-of-CB-Floryn-Mesh-Bra-NWOT-649860362fbf1a4eebd5e66e
Disney,"
            Disney Women's 2 Piece Short Sleeve Shirt & Short Pajama Set
          ","
              C$25
            ","
              S/M
            ","
          New with tag attached 

95% Rayon│5% Spandex
Boxy Tee With Short Sleeves
Elastic Waistband on Short With Pockets
Ladies' Lounge Sleep PJ Set
Various Colorful Multi-Color Mickey Mouse Graphic Designs on Pajamas
Patch pocket at chest on T-Shirt

Comfy  Relax Relaxed Fit Oversized Sleepwear Vacation Lightweight 
Christmas Holiday Present Gift Gifts Stocking Stuffer

Measurements in ad 
Smoke and pet free environment
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A, N/A",N/A,4278,1300+,1 day,100+,https://poshmark.ca/listing/Disney-Womens-2-Piece-Short-Sleeve-Shirt-Short-Pajama-Set-66d2fe239e4f74d59e7836b2
N/A,"
            Vintage coral knee length nightie  size medium
          ","
              C$18
            ","
              US M
            ","
          Vintage coral knee length nightie size medium
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A, N/A",N/A,251,25+,1 day,1,https://poshmark.ca/listing/Vintage-coral-knee-length-nightie-size-medium-66e46d9ee48e8612aecc1d4b
NVGTN,"
            Nvgtn open back bra!!
          ","
              C$25
            ","
              US M
            ","
          Has a little discolouration at armpits and a little wash wear. Size medium, comes with removable cup pads and original bag!
        ","Price Dropped: 11%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, White",N/A,584,300+,2 days,68,https://poshmark.ca/listing/Nvgtn-open-back-bra-657502b8c5df6ccada6aff27
Patagonia,"
            Lot of 4 Patagonia active mesh bras size Small/XS
          ","
              C$80
            ","
              US S
            ","
          Lot of 4 Patagonia bras. 3 are size small (black, pink with pattern, and blue with pattern). Blue stripe is size XS, but held up to the others seems fairly comparable in size. Black and blue stripe are like new. Other two are in great preloved condition with minimal wash wear. All but the blue striped one have pockets to add small pads if so desired. See photos for details.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Blue",N/A,1751,800+,2 days,100+,https://poshmark.ca/listing/Lot-of-4-Patagonia-active-mesh-bras-size-SmallXS-66959606fe7e2c7c1446dddc
Lebody,"
            𝅺NUDE neutral Lebody body suit ballet core layering
          ","
              C$20
            ","
              US M
            ","
          Like new no stains or snags plastic snaps in bottom 
94% nylon 6% spandex 
Adjustable straps and cross back racer back clip
        ","Seller Discount: 25% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Tan, N/A, N/A, N/A",N/A,1478,900+,3 days,100+,https://poshmark.ca/listing/NUDE-neutral-Lebody-body-suit-ballet-core-layering-66e06feaeba4c49028b5cefb
offline aerie,"
            OFFLINE BY Aerie. Grey. Size medium​
          ","
              C$22
            ","
              US M
            ","
          OFFLINE aerie bralette 
Grey with ribbed bottom 
Size medium 
Excellent condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, N/A, N/A",N/A,449,100+,2 days,29,https://poshmark.ca/listing/OFFLINE-BY-Aerie-Grey-Size-medium-668f99d00f752b2d87b23578
ASOS,"
            ASOS Bralette Red and Black Lace
          ","
              C$19
            ","
              US 32C
            ","
          32 C size
Lace embroidered cups with bow 
Adjustable straps
3 hook sizes 

Never worn

Sign up for a Poshmark account & use the promo code BECSCLOSET92
You’ll receive $15 credit, upon registration, to shop 🥳🤩

Bundle this item with others to receive 15% off.
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, Red",N/A,227,100+,3 days,22,https://poshmark.ca/listing/ASOS-BraletteRed-and-BlackLace-666a9831f4d179e0f7059c74
aerie,"
            Aerie black mesh underwire smoothez bra
          ","
              C$36
            ","
              US 32B
            ","
          New with tags Aerie black mesh underwire smoothez bra. Size 32B. Adjustable straps. 3 adjustable sizes with the clips in the back/around chest.
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black",N/A,3356,1800+,1 day,100+,https://poshmark.ca/listing/Aerie-black-mesh-underwire-smoothez-bra-64d6062f2fbf1a66f6d6b959
Deesse Lingerie,"
            38H Deesse wireless cotton bra
          ","
              C$25
            ","
              US 38H (5D)
            ","
          NWOT 38H Deesse wireless cotton bra in white.

Formerly adored as Camila, this wirefree bra ensures comfort and seamless shaping. It features soft cups and wide adjustable straps to provide lift and support. Great for every day wear. Also available in regular cup sizes.

Fit & Cut:
- Wirefree soft cup bra
- U-back for added support

Straps & Hooks:
- Wide adjustable straps
- Sliders allow for ease of strap adjustment
- Hook and eye closure for a secure, comfortable fit

Features:
- Scalloped lace along front straps and neckline
- Satin binding at armhole and back wings
- Made from a soft cotton blend
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, White",N/A,272,200+,3 days,40,https://poshmark.ca/listing/38H-Deesse-wireless-cotton-bra-66d536e03eddeb0885d51138
Victoria's Secret,"
            Purple Long Line Bra
          ","
              C$60
            ","
              US 32B
            ","
          Victoria's Secret - Purple Bra - 32B
Adjustable straps, Back clasp and a adjustable back strap, Lightly padded (not push-up), padding is removable
Never worn, Excellent Condition

🐶 Dog Friendly Home
🚭 Non-Smoking Home
✏️ Measurements Available upon Request
♻️ Recycled Packaging whenever Possible
💵 Use code LITTLEKSCLOTHES when you sign up to save $15 on your first purchase!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Purple",N/A,421,300+,1 day,28,https://poshmark.ca/listing/Purple-Long-Line-Bra-667fcd27f9927ca1e5ab4706
Gymshark,"
            Gymshark all over camo jacquard sports bra
          ","
              C$30
            ","
              US XS
            ","
          Complete your latest workout and your latest outfit with the Adapt Camo Seamless Sport Bra. Stay cool in criss cross back detailing, and stay supported in a wrap front fit. All this in a refreshed camo jacquard and signature seamless fabric is sure to lead to your best workout yet.

- All over camo Jacquard
- Criss cross back detail
- Wrap front
- Heatseal branding to chest
- Sweat-wicking finishing
- 82% Nylon 13% Polyester 5% Elastane
- Model is 5'8"" and wears size XS

size tag removed 
xs/s
chest 12-15"" across
length 11""

excellent condition
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A, N/A",N/A,2643,2300+,3 days,100+,https://poshmark.ca/listing/Gymsharkall-over-camo-jacquard-sports-bra-66e3265049d8d8a5b51ecd3a
Nike,"
            Nike sports  bra black size small
          ","
              C$16
            ","
              US S
            ","
          Any questions? Comment below
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, N/A, N/A, N/A",N/A,134,25+,1 day,2,https://poshmark.ca/listing/Nike-sports-bra-black-size-small-66e844f73fd8e738885858c8
under WILFRED,"
            UNDER WILFRED with lace black lace camisole. Size small. Excellent condition​
          ","
              C$16
            ","
              US S
            ","
          Under WILFRED with silk camisole. 
Black lace 
Spaghetti straps
Size small 
Excellent condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/11/668fe5fb301d9b83298b9b9f/s_668fe5fcc4b73a8ee4fa8d89.jpg,449,100+,2 days,29,https://poshmark.ca/listing/UNDER-WILFRED-with-lace-black-lace-camisole-Size-small-Excellent-condition-668fe5fb301d9b83298b9b9f
C9 by Champion,"
            Champion Power Shape Max Medium Support Sports Bra Ebony Size Large
          ","
              C$16
            ","
              US L
            ","
          C9 Champion Power Shape Max Medium Support Sports Bra Ebony
Size Large
Fits 34D, 36C, 38C bra sizes
Great condition, gently worn

features
» duo dry technology wicks moisture
» stop the bounce with motion control cups
» adjustable straps stay put for the perfect fit
» hook and eye back closure
» material: 88% polyester, 12% spandex
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/29/66d0dcdf538bebedae3cee43/s_66d0ddaa206847d88d177de7.jpeg,26,3,1 day,1,https://poshmark.ca/listing/Champion-Power-Shape-Max-Medium-Support-Sports-Bra-Ebony-Size-Large-66d0dcdf538bebedae3cee43
Joe's Jeans,"
            Joe’s Jeans Grey Bralette Small
          ","
              C$16
            ","
              US S
            ","
          Size small 
Machine wash 
No underwire 
Adjustable straps
$36 US dollars
this style fits true to size. Model's stats for sizing: - Height: 5'11"" - Bust: 34"" - Waist: 23"" - Hips: 34.5"" Model is wearing size S.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/17/66c140fba6bb76f7e4fc84c4/s_66c140fb9ceaf70ebbd9ddc5.jpeg,761,500+,1 day,100+,https://poshmark.ca/listing/Joes-Jeans-Grey-Bralette-Small-66c140fba6bb76f7e4fc84c4
La SENZA,"
            Black and pink  baby doll lingerie
          ","
              C$25
            ","
              US S
            ","
          la SENZA

Size: small
Condition: great 

Accepting all reasonable offers :) 
Message me for any information 

Bundle and buy 3+ items and receive 25% off ❤️🥰

#lingerie #lasenza #black
        ","Seller Discount: 20% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Black, Pink, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/13/66e4c667538beb6c73e15c7e/s_66e4c668dc8a4e499cad5eac.jpeg,429,200+,1 day,29,https://poshmark.ca/listing/Black-and-pink-baby-doll-lingerie-66e4c667538beb6c73e15c7e
Victoria's Secret,"
            Black & White Balconet Bra
          ","
              C$40
            ","
              US 32C
            ","
          Victoria’s Secret - Black & White Balconet Push Up - 32C
Adjustable straps, Rhinestone detailing
Worn once, Excellent Condition

🐶 Dog Friendly Home
🚭 Non-Smoking Home
✏️ Measurements Available upon Request
♻️ Recycled Packaging whenever Possible
💵 Use code LITTLEKSCLOTHES when you sign up to save $15 on your first purchase!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, White",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/29/667fcc1ac4b73adf85347516/s_667fcc1ac4b73adf85347517.jpg,421,300+,1 day,28,https://poshmark.ca/listing/Black-White-Balconet-Bra-667fcc1ac4b73adf85347516
lululemon athletica,"
            Lululemon Multi-Color Cris-Crossed Strappy Back Catalyst Multi Sports Bra - SZ 4
          ","
              C$50
            ","
              Size 4
            ","
          The Lululemon Multi-Color Criss-Cross Strappy Back Sports Bra is a popular choice among athletes and fitness enthusiasts. This sports bra features a criss-cross strappy back design for added support and comfort during high-intensity activities. The multi-color design adds a stylish touch to the athletic wear. Made with Lululemon's signature Luon fabric, this sports bra provides four-way stretch, moisture-wicking properties, and quick drying capabilities. It's an ideal choice for yoga, running, and other low-to-high impact workouts.
- Voted most likely to be worn multiple times a week. This all-sport bra is a favourite for comfort and versatility. 
- luxtreme® Is sweat-wicking, four-way stretch, and engineered not to shrink
- Medium support: Intended to provide medium support for a B/C cup
- Lycra®: Added Lycra® fibre for shape retention
- Coverage: Pockets for optional, removable cups

- Material: 69% Nylon, 31% Lycra® Elastic

CONDITION:
- Used with no visible signs of wear and tear
- Come from smoke-free home
- Have been sanitized with Samsung AirDresser.
        ",N/A,"N/A, N/A, N/A, Yellow, Pink, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/07/668adfb3948ffee8742d18bc/s_668ae274280cc661eb6bfccd.jpeg,546,200+,1 day,37,https://poshmark.ca/listing/Lululemon-MultiColor-CrisCrossed-Strappy-Back-Catalyst-Multi-Sports-Bra-SZ-4-668adfb3948ffee8742d18bc
Juicy Couture,"
            Juicy beautiful velvet  top. Back to school
          ","
              C$37
            ","
              US XL
            ","
          Very soft and comfortable to wear
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/15/66e6dc798d997764b6a36b47/s_66e6dc7a198524ec837edfe6.jpeg,645,100+,1 day,27,https://poshmark.ca/listing/Juicy-beautiful-velvet-top-Back-to-school-66e6dc798d997764b6a36b47
knix,"
            Knix Catalyst Front Zip High-Impact Sports Bra Plum Sz 6+ (34E, 32F, 34F)
          ","
              C$65
            ","
              6+
            ","
          Knix Catalyst Front Zip Sports in Plum (purple). Front zip is here! The most supportive sports bra ever – now even easier to put on and take off. This front closure, cross-back high-impact sports bra gives you the wireless support, comfort, and adjustability you want...without the painful struggle.

- Performance molded cups reduce movement
- Front zipper for easy onn-off
- Cross back adjustable straps
- Adjustable band

Size 6+ (fits size 34E, 32F, 34F)

Good pre-owned condition. No holes, stains, or pilling. Knix logo has worn off.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Purple, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/07/23/669f633f4f80f98bd231893a/s_669f6341c9af8c50c10eb5ca.jpeg,4113,3800+,1 day,100+,https://poshmark.ca/listing/Knix-Catalyst-Front-Zip-HighImpact-Sports-Bra-Plum-Sz-6-34E-32F-34F-669f633f4f80f98bd231893a
BuffBunny,"
            BuffBunny Twisted Sports Bra
          ","
              C$60
            ","
              US XXS
            ","
          BuffBunny - Twisted Sports Bra - XXS
Twist front detailing, V-neckline, Removable bust pads, Fabric: NuBre, Light Support Level. Color is Stardust 
Never worn, Tags still attached, Excellent condition

🐶 Dog Friendly Home
🚭 Non-Smoking Home
✏️ Measurements Available upon Request
♻️ Recycled Packaging whenever Possible
💵 Use code LITTLEKSCLOTHES when you sign up to save $15 on your first purchase!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/06/29/667fcebec4b73a7a02347d47/s_667fcebec4b73a7a02347d48.jpg,421,300+,1 day,28,https://poshmark.ca/listing/BuffBunny-Twisted-Sports-Bra-667fcebec4b73a7a02347d47
N/A,"
            (15) NWT avid love  lingerie
          ","
              C$24
            ","
              22w
            ","
          New never worn
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/09/13/66e4800ff3d6247ed17340b0/s_66e480119d05c4931a9fa82d.jpeg,11247,9600+,1 day,100+,https://poshmark.ca/listing/15-NWT-avid-love-lingerie-66e4800ff3d6247ed17340b0
lululemon athletica,"
            Lululemon Work the Circuit Sports Bra Size 4
          ","
              C$60
            ","
              4
            ","
          Small hole on inside lining as pictured but otherwise in great condition!
Electric coral colour

Medium support bra
Removable cups not included
        ","Seller Discount: 15% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, Orange, N/A, N/A, N/A",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/28/66cfc8b634d15670b05b6b59/s_66cfc8b7d399ff6d4e5e5d75.jpg,1100,700+,1 day,51,https://poshmark.ca/listing/Lululemon-Work-the-Circuit-Sports-Bra-Size-4-66cfc8b634d15670b05b6b59
lululemon athletica,"
            Lululemon Energy Bra Heathered Black
          ","
              C$35
            ","
              10
            ","
          Excellent pre owned condition 

Logo a bit faded otherwise perfect

Insertable cups not included 

Breathe and sweat easy in this all-sport bra
everlux™
Everlux fabric is engineered to keep you feeling cool and dry in hot, sweaty indoor environments.
Sleek look and feel
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Gray, Black",https://di2ponv0v5otw.cloudfront.net/posts/2022/09/03/6313bedadbb0e709a72bb4a1/s_6313bee5b635f8d7df13f16d.jpg,2633,2300+,1 day,100+,https://poshmark.ca/listing/Lululemon-Energy-Bra-Heathered-Black-6313bedadbb0e709a72bb4a1
lululemon athletica,"
            Lululemon Awake to Lace Bra 34 DD
          ","
              C$49
            ","
              US 34E (DD)
            ","
          Inspired by delicate lace, this everyday bra is designed with minimal seams and engineered with mesh construction for airy coverage. Molded cups give you a sleek fit while the textured lace looks smooth under tops.

Fabric is four-way stretch

four-way stretch
Features
Designed for: Yoga
Lycra®: Added Lycra® fibre for shape retention
Ventilation: Keyhole at ankle for extra ventilation
Hook-and-eye closure: Hook-and-eye closure for customized underband fit
Perfect under layer: Feminine v-neckline disappears under tops
Bra cup size range: A–E cups

Unfortunately it didn't work for me but this bra is in perfect condition and so beautiful with the lace look without it showing under tees!
        ","Seller Discount: 20% off 3+ Bundle, Price Dropped: 11%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink",https://di2ponv0v5otw.cloudfront.net/posts/2024/08/16/66c008bd1ce666ccca9edea3/s_66c008bd1ce666ccca9edea4.jpeg,183,100+,1 day,21,https://poshmark.ca/listing/Lululemon-Awake-to-Lace-Bra-34-DD-66c008bd1ce666ccca9edea3
Nike,"
            Nike Pro Indy Padded Sports Bra Mesh Band Adjustable Straps Size M
          ","
              C$25
            ","
              US M
            ","
          Nike Pro Indy Sports Bra Size M
Teal and mint green colorway
Lined with removable soft cups, mesh band, adjustable straps
Excellent condition, only worn a few times
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, Green, N/A, N/A, N/A",N/A,26,3,1 day,1,https://poshmark.ca/listing/Nike-Pro-Indy-Padded-Sports-Bra-Mesh-Band-Adjustable-Straps-Size-M-66e61ea4450b42526e850004
N/A,"
            NWOT Shapewear Corset
          ","
              C$15
            ","
              US XS
            ","
          NWOT Shapewear Corset 
Sized: XS 
Brand new, never worn 
Clip up front 
Open chest design 
Soft material 

T
Bin 4
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Black, Blue, N/A, N/A",N/A,2465,1700+,1 day,100+,https://poshmark.ca/listing/NWOT-Shapewear-Corset-66d17c2e74cb47ec71521d93
lululemon athletica,"
            Lululemon Energy Bra High Neck *Medium Support, B/C Cup Future Oasis Grey Multi
          ","
              C$35
            ","
              10
            ","
          Excellent pre owned condition 
No flaws 

Insertable cups not included 

Breathe and sweat easy in this all-sport bra with a high neck for coverage during dynamic classes
seamless construction
Fabric is seamlessly constructed with yarns chosen for movement and shape retention—over time, and when they're soaked in sweat.
Lightweight
Retains shape
features
Designed for: Training
Lycra®: Added Lycra® fibre for shape retention
Coverage: Pockets for optional, removable cups
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, White, Gray",N/A,2633,2300+,1 day,100+,https://poshmark.ca/listing/Lululemon-Energy-Bra-High-Neck-Medium-Support-BC-Cup-Future-Oasis-Grey-Multi-6313bd6ef8c5da5d3ecd1d30
Reebok,"
            Reebok  gray sports bra
          ","
              C$20
            ","
              US M
            ","
          Reebok gray sports bra size medium (I got rid of the tag since it was bothering). 

Feel free to ask if you are in doubt 🌸💕
Bundle to save 🍂🤎
        ","Seller Discount: 15% off 4+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Gray",N/A,171,5+,1 day,--,https://poshmark.ca/listing/Reebok-gray-sports-bra-66e595c19e4f74052d1e2361
N/A,"
            Nude Lace Thigh Bands
          ","
              C$5
            ","
              US L
            ","
          Designed to protect thighs from chafing.  Has a band at the top to prevent the lace from slipping down.  Each one also features a pocket you can slip credit cards or cash in.  Never worn.
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, Cream",N/A,107,40+,1 day,5,https://poshmark.ca/listing/Nude-Lace-Thigh-Bands-62ed836d8634cbf05fa863e4
lululemon athletica,"
            🥳HP🥳LULULEMON black,blue&pink Free To Be Bra Wild Dandy Digie Multi Boom Juice
          ","
              C$40
            ","
              6
            ","
          Beautiful awesome preloved 
No padding 
Strappy back 
Beautiful colours 🤩😍
        ","Seller Discount: 15% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Black, Pink, N/A, N/A, N/A",N/A,959,600+,1 day,100+,https://poshmark.ca/listing/HPLULULEMON-blackbluepink-Free-To-Be-Bra-Wild-Dandy-Digie-Multi-Boom-Juice-64b071c0bd06290f27d71fb0
lululemon athletica,"
            🔴 Lululemon Energy Bra - High Support -  34D - Color Wasabi
          ","
              C$40
            ","
              US 34D
            ","
          - Buddle other 🔴 for 2/$50 Red dot sale
- Whether you love to run distances or sprints, this adjustable bra gives your boobs comfortable, held-in support so you can focus on your pace.
- Intended for high-impact activities
- Quick-drying fabric
- Quick-drying
- Sweat-wicking
- High support: Intended for high-impact activities
- Built-in cups: Molded foam cups are lightweight and malleable
- Customizable straps: Adjustable, crossable straps let you customize the fit
- Comfortable fit: Soft, brushed underband
- Hook-and-eye closure: Hook-and-eye closure for customized underband fit

Materials
- Bra Lining:71% Nylon, 29% Elastane,
- Bra:78% Nylon, 22% Elastane,
- Cup:Cup Shell: 100% Polyester,Cup Foam: 100% Polyurethane Foam,Cup Liner: 92% Polyester, 8% Elastane

CONDITION:
- Used with no visible signs of wear and tear
- Come from smoke-free home
- Have been sanitized with Samsung AirDresser.
        ","Seller Discount: 20% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Green, N/A, N/A, N/A",N/A,546,200+,1 day,37,https://poshmark.ca/listing/Lululemon-Energy-Bra-High-Support-34D-Color-Wasabi-66771c68fee468a9a0fa8b66
Victoria's Secret,"
            Victoria's Secret White Chemise - NWOT
          ","
              C$45
            ","
              US 34B
            ","
          Victoria’s Secret - White Chemise - 34B
Lightly padded, front clip with Leopard bow that ties over.  
Never worn, Excellent Condition

🐶 Dog Friendly Home
🚭 Non-Smoking Home
✏️ Measurements Available upon Request
♻️ Recycled Packaging whenever Possible
💵 Use code LITTLEKSCLOTHES when you sign up to save $15 on your first purchase!
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, White",N/A,421,300+,1 day,28,https://poshmark.ca/listing/Victorias-Secret-White-Chemise-NWOT-667fcd10bfd9a6997b3cfd48
Simone Perele,"
            Simone Perele plunge cup bustier 34 B
          ","
              C$120
            ","
              US 34B
            ","
          Simone Perele plunge cup bustier with adjustable and removable shoulder straps and garters.
Underwired cups.
Bustier only (does not include hose or panty)
COLOR: IVORY
Size: 34B 
preowned in excellent condition

J10
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A",N/A,1401,700+,1 day,100+,https://poshmark.ca/listing/SimonePerele-plunge-cup-bustier-34-B-66d261ef50e2dfcd6ff09e9a
Wonderbra,"
            3/$25 Wonderbra Lace Bralette
          ","
              C$12
            ","
              US 34B
            ","
          Vintage from 90s/ early 20s
Size: 34B
Condition: Excellent used condition
        ","Price Dropped: 25%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Cream, Tan",N/A,2292,1700+,1 day,100+,https://poshmark.ca/listing/325-Wonderbra-Lace-Bralette-64f50c7558083da55877b1dd
Cachet,"
            Cachet Blush Pink Floral Satiny  Robe Cover Up 90's Vintage Tie Waist Travel Bag
          ","
              C$38
            ","
              US OS
            ","
          Cachet Blush Pink Floral Satin Robe Cover-Up 90's Vintage Belted Tie Waist 
#1949

•Brand: Cachet
•Size: OS
•Color: Pink Blush
•Length: 47.5 inches
•Width: 18 inches

In excellent pre-loved condition
(Please note that true color may be lighter or darker, all screens are different)

❤Bundle and Save 15% on 2 or more
❤FREE Shipping on 100$ or more
🚫Smoke-Free Household
🔝Rated Seller
🌟Poshmark Ambassador
        ","Seller Discount: 30% off 2+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Pink, N/A, N/A, N/A",N/A,6512,3700+,2 days,100+,https://poshmark.ca/listing/Cachet-Blush-Pink-Floral-Satiny-Robe-Cover-Up-90s-Vintage-Tie-Waist-Travel-Bag-669b848bfbae95b81bb6ab23
La Vie En Rose,"
            La Vie en Rose Blue Purple Floral Silky Slip Size Small
          ","
              C$25
            ","
              US S
            ","
          Approx-
Pit to Pit- 15 inches
Shoulder to Hem- 33 inches

La Vie en Rose Blue Purple Floral Silky Slip Size Small.

Excellent Condition
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Blue, Purple, N/A, N/A, N/A",N/A,81,5+,1 day,1,https://poshmark.ca/listing/LaVie-en-Rose-Blue-Purple-Floral-Silky-Slip-Size-Small-66ddafe734e253a3656ae9ee
lululemon athletica,"
            Lululemon Expand Your Limits Bra Antoinette
          ","
              C$35
            ","
              10
            ","
          Excellent pre owned condition 

Insertable cups not included 

Reach the fullest expression of your poses in this buttery-soft bra with lots of strappy detailing.
nulu™
Lightweight, buttery-soft Nulu™ fabric wicks sweat and is four-way stretch
buttery-soft handfeel
lightweight
sweat-wicking
four-way stretch
features
Designed for: Yoga
Lycra®: Added Lycra® fibre for shape retention
Back opening : Keyhole in the back to help keep cool
Coverage: Pockets for optional, removable cups
Light support: Intended to provide light support for an A/B cup
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A",N/A,2633,2300+,1 day,100+,https://poshmark.ca/listing/Lululemon-Expand-Your-Limits-Bra-Antoinette-63067a13bd66cdd308cd7cad
Juicy Couture,"
            Juicy Couture Bralette Size Large Nude Soft Deep V Removable Pads Bra Stretchy
          ","
              C$25
            ","
              US L
            ","
          Juicy Couture Bralette Size Large Nude Soft Deep V Removable Pads Bra Stretchy

29 inches across
3 hook options
12 inches from top of strap to bottom
Buttery soft fabric

Nude but leaning toward more of a pink
        ","Seller Discount: 30% off 3+ Bundle, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, N/A, N/A, N/A",N/A,576,200+,1 day,24,https://poshmark.ca/listing/Juicy-Couture-Bralette-Size-Large-Nude-Soft-Deep-V-Removable-Pads-Bra-Stretchy-65ece497981d4861bb9b63d3
lululemon athletica,"
            Lululemon  Cool to Street bra
          ","
              C$31
            ","
              US XS
            ","
          Lululemon
""Cool to Street""
EEUC
Color: gator green
        ","Price Dropped: 11%, C$12.49 Expedited (1-7 day) Shipping on all orders","N/A, N/A, N/A, Green, Gray, N/A, N/A, N/A",N/A,414,100+,1 day,14,https://poshmark.ca/listing/Lululemon-Cool-to-Street-bra-66a2692f943ddb2f555c33ae
aerie,"
            Aerie bra. Size 32A. White with nude under lining​
          ","
              C$8
            ","
              US 32A
            ","
          AERIE bra 
Size 32A
Lace straps 
White with nude lining 
Can be cross back or regular back 
Straps are Lacey.
        ",C$12.49 Expedited (1-7 day) Shipping on all orders,"N/A, N/A, N/A, Cream, Tan, N/A, N/A",N/A,449,100+,2 days,29,https://poshmark.ca/listing/Aerie-bra-Size-32A-White-with-nude-under-lining-668fa909e3252714cfc40e24
